iteration,improve, unimprove
1,5.016839098,5.016839098
2,5.016839098,5.016839098
3,5.016839098,5.016839098
4,5.016839098,5.016839098
5,5.016839098,5.016839098
6,5.016839098,5.016839098
7,5.016839098,5.016839098
8,5.016839098,5.016839098
9,5.016839098,5.016839098
10,5.016839098,5.016839098
11,5.016839098,5.016839098
12,5.016839098,5.016839098
13,5.016839098,5.016839098
14,5.016839098,5.016839098
15,5.016839098,5.016839098
16,5.016839098,5.016839098
17,5.016839098,5.016839098
18,5.016839098,5.016839098
19,5.016839098,5.016839098
20,5.016839098,5.016839098
21,5.016839098,5.016839098
22,5.016839098,5.016839098
23,5.016839098,5.016839098
24,5.016839098,5.016839098
25,5.012486844,5.016839098
26,5.012486844,5.016839098
27,5.005359179,5.016839098
28,5.005359179,5.016839098
29,5.005359179,5.016839098
30,5.005359179,5.016839098
31,4.988873063,5.016839098
32,4.988873063,5.016839098
33,4.988873063,5.016839098
34,4.988873063,5.016839098
35,4.988873063,5.016839098
36,4.988873063,5.016839098
37,4.988873063,5.016839098
38,4.988873063,5.016839098
39,4.988873063,5.016839098
40,4.96736061,5.016839098
41,4.96736061,5.016839098
42,4.96736061,5.016839098
43,4.96736061,5.016839098
44,4.96736061,5.016839098
45,4.96736061,5.016839098
46,4.96736061,5.016839098
47,4.96736061,5.016839098
48,4.961070342,5.016839098
49,4.952901257,5.016839098
50,4.952901257,5.016839098
51,4.952901257,5.016839098
52,4.952901257,5.016839098
53,4.952901257,5.016839098
54,4.952901257,5.016839098
55,4.952901257,5.016839098
56,4.949616038,5.016839098
57,4.943405585,5.016839098
58,4.943405585,5.016839098
59,4.943405585,5.016839098
60,4.943405585,5.016839098
61,4.943405585,5.016839098
62,4.938977768,5.016839098
63,4.93815614,5.016839098
64,4.936384262,5.016839098
65,4.936384262,5.016839098
66,4.936384262,5.016839098
67,4.936384262,5.016839098
68,4.936384262,5.016839098
69,4.936384262,5.016839098
70,4.936384262,5.016839098
71,4.936384262,5.016839098
72,4.936384262,5.016839098
73,4.936384262,5.016839098
74,4.936384262,5.016839098
75,4.936384262,5.016839098
76,4.936384262,5.016839098
77,4.934772064,5.016839098
78,4.934772064,5.016839098
79,4.934375664,5.016839098
80,4.93429477,5.016839098
81,4.933699558,5.016839098
82,4.933699558,5.016839098
83,4.932470447,5.016839098
84,4.931382494,5.016839098
85,4.930184471,5.016839098
86,4.930184471,5.016839098
87,4.930184471,5.016839098
88,4.930184471,5.016839098
89,4.930184471,5.016839098
90,4.930184471,5.016839098
91,4.930184471,5.016839098
92,4.930184471,5.016839098
93,4.930184471,5.016839098
94,4.929415815,5.016839098
95,4.928516548,5.016839098
96,4.928516548,5.016839098
97,4.928516548,5.016839098
98,4.928118091,5.016839098
99,4.928118091,5.016839098
100,4.928118091,5.016839098
101,4.928118091,5.016839098
102,4.926992652,5.016839098
103,4.926992652,5.016839098
104,4.926992652,5.016839098
105,4.926992652,5.016839098
106,4.926992652,5.016839098
107,4.926992652,5.016839098
108,4.926992652,5.016839098
109,4.926992652,5.016839098
110,4.926992652,5.016839098
111,4.926992652,5.016839098
112,4.926992652,5.016839098
113,4.926919064,5.016839098
114,4.92683484,5.016839098
115,4.92683484,5.016839098
116,4.92683484,5.016839098
117,4.92683484,5.016839098
118,4.926757231,5.016839098
119,4.926757231,5.016839098
120,4.926673231,5.016839098
121,4.926673231,5.016839098
122,4.926645659,5.016839098
123,4.926645659,5.016839098
124,4.926645659,5.016839098
125,4.926645659,5.016839098
126,4.926645659,5.016839098
127,4.926645659,5.016839098
128,4.926645659,5.016839098
129,4.926645659,5.016839098
130,4.926645659,5.016839098
131,4.926645659,5.016839098
132,4.926645659,5.016839098
133,4.926645659,5.016839098
134,4.926645659,5.016839098
135,4.926645659,5.016839098
136,4.926628393,5.016839098
137,4.926628393,5.016839098
138,4.926628393,5.016839098
139,4.926628393,5.016839098
140,4.926628393,5.016839098
141,4.92659993,5.016839098
142,4.92659993,5.016839098
143,4.926472676,5.016839098
144,4.926472676,5.016839098
145,4.926472676,5.016839098
146,4.926472676,5.016839098
147,4.926472676,5.016839098
148,4.926472676,5.016839098
149,4.926472676,5.016839098
150,4.926472676,5.016839098
151,4.926472676,5.016839098
152,4.926472676,5.016839098
153,4.926472676,5.016839098
154,4.926472676,5.016839098
155,4.926472676,5.016839098
156,4.926472676,5.016839098
157,4.926472676,5.016839098
158,4.926472676,5.016839098
159,4.926472676,5.016839098
160,4.926472676,5.016839098
161,4.926472676,5.016839098
162,4.926472676,5.016839098
163,4.926472676,5.016839098
164,4.926472676,5.016839098
165,4.926472676,5.016839098
166,4.926472676,5.016839098
167,4.926472676,5.016839098
168,4.926472676,5.016839098
169,4.926472676,5.016839098
170,4.926472676,5.016839098
171,4.926472676,5.016839098
172,4.926472676,5.016839098
173,4.926472676,5.016839098
174,4.926472676,5.016839098
175,4.926472676,5.016839098
176,4.926472676,5.016839098
177,4.926472676,5.016839098
178,4.926459601,5.016839098
179,4.926459601,5.016839098
180,4.926459601,5.016839098
181,4.926459601,5.016839098
182,4.926459601,5.016839098
183,4.926459601,5.016839098
184,4.926459601,5.016839098
185,4.926419075,5.016839098
186,4.926419075,5.016839098
187,4.926419075,5.016839098
188,4.926419075,5.016839098
189,4.926419075,5.016839098
190,4.926419075,5.016839098
191,4.926419075,5.016839098
192,4.926419075,5.016839098
193,4.926419075,5.016839098
194,4.926419075,5.016839098
195,4.926419075,5.016839098
196,4.926419075,5.016839098
197,4.926419075,5.016839098
198,4.926419075,5.016839098
199,4.926419075,5.016839098
200,4.926419075,5.016839098
201,4.926419075,5.016839098
